Component,Publication Grant Number,Publication Doi,Publication Journal,Pubmed Id,Publication Title,Pubmed Url,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,PublicationView_id,Id,entityId,Dataset View_id
PublicationView,CA224044,10.1038/s41388-021-02118-4,Oncogene,34802033,Prognostic and therapeutic significance of COP9 signalosome subunit CSN5 in prostate cancer,https://pubmed.ncbi.nlm.nih.gov/34802033,2022,,"Ying Z Mazzu, Yu-Rou Liao, Subhiksha Nandakumar, Lina E Jehane, Richard P Koche, Sai Harisha Rajanala, Ruifang Li, HuiYong Zhao, Travis A Gerke, Goutam Chakraborty, Gwo-Shu Mary Lee, Gouri J Nanjangud, Anuradha Gopalan, Yu Chen, Philip W Kantoff","Chromosome 8q gain is associated with poor clinical outcomes in prostate cancer, but the underlying biological mechanisms remain to be clarified. CSN5, a putative androgen receptor (AR) partner that is located on chromosome 8q, is the key subunit of the COP9 signalosome, which deactivates ubiquitin ligases. Deregulation of CSN5 could affect diverse cellular functions that contribute to tumor devel(Read more on Pubmed)","Cell Culture, CUT&Tag-Sequencing, RNA Sequencing, Xenograft",Prostate Adenocarcinoma,Prostate Gland,"GSE173469, GSE173466, GSE173467",Open Access,34802033,94fb53c7-d0a3-495e-b47f-c6d2a9140042,syn52564788,34802033
PublicationView,CA224044,10.1126/sciadv.adc9446,Sci Adv,37018402,ETV4 mediates dosage-dependent prostate tumor initiation and cooperates with p53 loss to generate prostate cancer,https://pubmed.ncbi.nlm.nih.gov/37018402,2023,,"Dan Li, Yu Zhan, Naitao Wang, Fanying Tang, Cindy J Lee, Gabriella Bayshtok, Amanda R Moore, Elissa W P Wong, Mohini R Pachai, Yuanyuan Xie, Jessica Sher, Jimmy L Zhao, Makhzuna Khudoynazarova, Anuradha Gopalan, Joseph Chan, Ekta Khurana, Peter Shepherd, Nora M Navone, Ping Chi, Yu Chen","The mechanisms underlying <i>ETS</i>-driven prostate cancer initiation and progression remain poorly understood due to a lack of model systems that recapitulate this phenotype. We generated a genetically engineered mouse with prostate-specific expression of the <i>ETS</i> factor, ETV4, at lower and higher protein dosage through mutation of its degron. Lower-level expression of ETV4 caused mild lum(Read more on Pubmed)","ATAC-Seq, RNA Sequencing, CHIP-Seq, Single Cell RNA-Sequencing","Prostate Adenocarcinoma, Prostate Carcinoma, Prostate Neoplasm",Prostate Gland,Not Applicable,Open Access,37018402,ef7008fa-b247-42ee-b6e7-8880fa3111c2,syn52564788,37018402
PublicationView,CA224044,10.3791/60872,J Vis Exp,33346184,Enhanced Viability for Ex vivo 3D Hydrogel Cultures of Patient-Derived Xenografts in a Perfused Microfluidic Platform,https://pubmed.ncbi.nlm.nih.gov/33346184,2020,,"Lindsey K Sablatura, Kristin M Bircsak, Peter Shepherd, Karla Queiroz, Mary C Farach-Carson, Pamela E Constantinou, Anthony Saleh, Nora Navone, Daniel A Harrington","Patient-derived xenografts (PDX), generated when resected patient tumor tissue is engrafted directly into immunocompromised mice, remain biologically stable, thereby preserving molecular, genetic, and histological features, as well as heterogeneity of the original tumor. However, using these models to perform a multitude of experiments, including drug screening, is prohibitive both in terms of cos(Read more on Pubmed)","Patient Derived Xenograft, Hydrogels, Microfluidics",Pan-cancer,Not Applicable,Not Applicable,Open Access,33346184,fb7c35cd-6da5-4db7-bc74-16629d6c33ee,syn52564788,33346184
PublicationView,CA224044,10.1038/s41585-022-00706-x,Nat Rev Urol,36650259,The future of patient-derived xenografts in prostate cancer research,https://pubmed.ncbi.nlm.nih.gov/36650259,2023,,"Mitchell G Lawrence, Renea A Taylor, Georgia B Cuffe, Lisa S Ang, Ashlee K Clark, David L Goode, Laura H Porter, Clémentine Le Magnen, Nora M Navone, Jack A Schalken, Yuzhuo Wang, Wytske M van Weerden, Eva Corey, John T Isaacs, Peter S Nelson, Gail P Risbridger","Patient-derived xenografts (PDXs) are generated by engrafting human tumours into mice. Serially transplantable PDXs are used to study tumour biology and test therapeutics, linking the laboratory to the clinic. Although few prostate cancer PDXs are available in large repositories, over 330 prostate cancer PDXs have been established, spanning broad clinical stages, genotypes and phenotypes. Neverthe(Read more on Pubmed)",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,36650259,436ea2d8-5ee8-4ef9-826e-2cd25446523c,syn52564788,36650259
