Dataset Pubmed Id,Dataset Alias,Dataset Grant Number,Dataset Name,Dataset Description,Dataset Design,Dataset Species,Dataset Assay,Dataset Tumor Type,Dataset Tissue,Dataset Url,Dataset File Formats,Component,DatasetView_id,Id,entityId
37336883,"EMD-27630,  EMD-27684, PXD035574",CA209891,Structural insights into regulation of the PEAK3 pseudokinase scaffold by 14-3-3,"Cryo-EM maps and associated models, mass spectrometry proteomics data","A search was carried out for 14-3-3/client complex structures in the Protein Data Bank using the Advanced Search Query Builder via the sequence similarity feature. Structures with a sequence similarity of 30% to 14-3-3ε and an E-value cutoff of 0.1 were manually curated, removing 14-3-3 structures that only contained client peptides, with no globular domains present. Following curation, structures(Read more on Pubmed)",Human,"Cell Culture, Cryo-Electron Microscopy, Co-Immunoprecipitation, Co-Immunoprecipitation Mass Spectrometry, Immunofluorescent Staining Method


",Pan-cancer,Not Applicable,,,DatasetView,syn32698008,2b9cc337-ebaa-4f45-a7a8-7b250d388cfe,syn52745192
37146605,GSE194040,CA209891,I-SPY2-990 mRNA/RPPA Data Resource: mRNA component,The I-SPY2-990 mRNA/RPPA Data Resource contains gene expression and clinical data for 987 patients from 10 arms of the neoadjuvant I-SPY2 TRIAL for aggressive early stage breast cancer [210 Control (Ctr); 71 veliparib/carboplatin (VC); 114 neratinib (N); 93 MK2206; 106 ganitumab; 93 ganetespib; 134 trebananib; 52 TDM1/pertuzumab(P); 44 H/P; 69 pembrolizumab (pembro)]. All 987 patients have pretrea(Read more on Pubmed),"Fresh-frozen pre-treatment breast cancer tumors (n=987) from 10 arms of the neoadjuvant ISPY2 trial for high risk, early-stage breast cancer were assayed using two Agilent 44K expression arrays: (1) Agilent_human_DiscoverPrint_15746 [with annotation GPL30493 (update of GPL16233; n=334)] or (2) Agendia32627_DPv1.14_SCFGplus [with annotation GPL20078 (n=654)]; and these data were combined into a single gene-level dataset after batch-adjusting using ComBat.",Human,"Whole Exome Sequencing, Next Generation Sequencing",Breast Neoplasm,Breast,,,DatasetView,,1fcc4f43-e0a7-4d5e-bdb8-069939a69bfd,syn52745192
