Component,Publication Grant Number,Publication Doi,Publication Journal,Pubmed Id,Publication Title,Pubmed Url,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,PublicationView_id,Id,entityId,Dataset View_id
PublicationView,CA209992,10.1016/j.isci.2023.106175,iScience,36788793,SARS-CoV-2 leverages airway epithelial protective mechanism for viral infection,https://pubmed.ncbi.nlm.nih.gov/36788793,2023,"Virology, Biological sciences, immunology, Transcriptomics","Allison Marie Greaney, Micha Sam Brickman Raredon, Maria P Kochugaeva, Laura E Niklason, Andre Levchenko","Despite much concerted effort to better understand severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) viral infection, relatively little is known about the dynamics of early viral entry and infection in the airway. Here we analyzed a single-cell RNA sequencing dataset of early SARS-CoV-2 infection in a humanized <i>in vitro</i> model, to elucidate key mechanisms by which the virus trigge(Read more on Pubmed)",Single Cell RNA-Sequencing,Not Applicable,Not Applicable,GSE166766,Open Access,36788793,0aba4cb7-f5cf-45e4-8b2e-c769c7ef4d61,syn52500281,36788793
PublicationView,CA209992,10.1158/2326-6066.cir-22-0565,Cancer Immunol Res,37253111,Immunogenetic Metabolomics Reveals Key Enzymes That Modulate CAR T-cell Metabolism and Function,https://pubmed.ncbi.nlm.nih.gov/37253111,2023,,"Paul Renauer, Jonathan J Park, Meizhu Bai, Arianny Acosta, Won-Ho Lee, Guang Han Lin, Yueqi Zhang, Xiaoyun Dai, Guangchuan Wang, Youssef Errami, Terence Wu, Paul Clark, Lupeng Ye, Quanjun Yang, Sidi Chen","Immune evasion is a critical step of cancer progression that remains a major obstacle for current T cell-based immunotherapies. Hence, we investigated whether it is possible to genetically reprogram T cells to exploit a common tumor-intrinsic evasion mechanism whereby cancer cells suppress T-cell function by generating a metabolically unfavorable tumor microenvironment (TME). In an in silico scree(Read more on Pubmed)",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,37253111,49ccf418-b4e4-4e6f-97ed-0a49fb6742af,syn52500281,37253111
PublicationView,CA209992,10.1038/s41590-023-01571-5,Nat Immunol,37500885,CTLA-4 tail fusion enhances CAR-T antitumor immunity,https://pubmed.ncbi.nlm.nih.gov/37500885,2023,,"Xiaoyu Zhou, Hanbing Cao, Shao-Yu Fang, Ryan D Chow, Kaiyuan Tang, Medha Majety, Meizhu Bai, Matthew B Dong, Paul A Renauer, Xingbo Shang, Kazushi Suzuki, Andre Levchenko, Sidi Chen","Chimeric antigen receptor (CAR)-T cells are powerful therapeutics; however, their efficacy is often hindered by critical hurdles. Here utilizing the endocytic feature of the cytotoxic T-lymphocyte-associated antigen-4 (CTLA-4) cytoplasmic tail, we reprogram CAR function and substantially enhance CAR-T efficacy in vivo. CAR-T cells with monomeric, duplex or triplex CTLA-4 cytoplasmic tails (CCTs) f(Read more on Pubmed)",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,37500885,3ecc50f7-c26a-4c01-8f97-d1f4b73cce96,syn52500281,37500885
PublicationView,CA209992,10.1126/science.aaw3835,Science,36758093,Epigenetics as a mediator of plasticity in cancer,https://pubmed.ncbi.nlm.nih.gov/36758093,2023,,"Andrew P Feinberg, Andre Levchenko","The concept of an epigenetic landscape describing potential cellular fates arising from pluripotent cells, first advanced by Conrad Waddington, has evolved in light of experiments showing nondeterministic outcomes of regulatory processes and mathematical methods for quantifying stochasticity. In this Review, we discuss modern approaches to epigenetic and gene regulation landscapes and the associat(Read more on Pubmed)",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,36758093,cf0435b8-a730-4808-8404-e5a1cbcc4b02,syn52500281,36758093
