Component,Publication Grant Number,Publication Doi,Publication Journal,Pubmed Id,Publication Title,Pubmed Url,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,PublicationView_id,Id,entityId,Dataset View_id
PublicationView,CA225088,10.1186/s12916-023-02838-2,BMC Med,37069550,Three tyrosine kinase inhibitors cause cardiotoxicity by inducing endoplasmic reticulum stress and inflammation in cardiomyocytes,https://pubmed.ncbi.nlm.nih.gov/37069550,2023,"Inflammation, Cardiotoxicity, Tyrosine kinase inhibitor, endoplasmic reticulum stress, Transcriptomics","Huan Wang, Yiming Wang, Jiongyuan Li, Ziyi He, Sarah A Boswell, Mirra Chung, Fuping You, Sen Han",Background: Tyrosine kinase inhibitors (TKIs) are anti-cancer therapeutics often prescribed for long-term treatment. Many of these treatments cause cardiotoxicity with limited cure. We aim to clarify molecular mechanisms of TKI-induced cardiotoxicity so as to find potential targets for treating the adverse cardiac complications. Methods: Eight TKIs with different levels of cardiotoxicity reported (Read more on Pubmed),Human Induced Pluripotent Stem Cell-derived Cardiomyocytes Culture,Pan-cancer,Not Applicable,GSE221595,Open Access,37069550,ae006315-5b14-448a-996a-3896e3f0b8b1,syn52564814,37069550
PublicationView,CA225088,10.1038/s43018-023-00576-1,Nat Cancer,37349501,High-plex immunofluorescence imaging and traditional histology of the same tissue section for discovering image-based biomarkers,https://pubmed.ncbi.nlm.nih.gov/37349501,2023,,"Jia-Ren Lin, Yu-An Chen, Daniel Campton, Jeremy Cooper, Shannon Coy, Clarence Yapp, Juliann B Tefft, Erin McCarty, Keith L Ligon, Scott J Rodig, Steven Reese, Tad George, Sandro Santagata, Peter K Sorger","Precision medicine is critically dependent on better methods for diagnosing and staging disease and predicting drug response. Histopathology using hematoxylin and eosin (H&E)-stained tissue (not genomics) remains the primary diagnostic method in cancer. Recently developed highly multiplexed tissue imaging methods promise to enhance research studies and clinical practice with precise, spatially res(Read more on Pubmed)","Hematoxylin and Eosin Staining Method, Cyclic Immunofluorescence, Immunohistochemistry Staining Method","Lung Carcinoma, Colorectal Adenocarcinoma",Not Applicable,Not Applicable,Open Access,37349501,b75d8c4b-bf27-49b3-95cd-8a4b4bb86de8,syn52564814,37349501
PublicationView,CA225088,10.1136/jitc-2022-006533,J Immunother Cancer,37399356,Leveraging immune resistance archetypes in solid cancer to inform next-generation anticancer therapies,https://pubmed.ncbi.nlm.nih.gov/37399356,2023,"Review, Gene expression profiling, Tumor Microenvironment, Cytotoxicity, Immunologic, Immune Evation","Kristin G Anderson, David A Braun, Aitziber Buqué, Sarah B Gitto, Jennifer L Guerriero, Brendan Horton, Bridget P Keenan, Teresa S Kim, Abigail Overacre-Delgoffe, Marco Ruella, Todd A Triplett, Omkara Veeranki, Vivek Verma, Fan Zhang","Anticancer immunotherapies, such as immune checkpoint inhibitors, bispecific antibodies, and chimeric antigen receptor T cells, have improved outcomes for patients with a variety of malignancies. However, most patients either do not initially respond or do not exhibit durable responses due to primary or adaptive/acquired immune resistance mechanisms of the tumor microenvironment. These suppressive(Read more on Pubmed)","Immunotherapy, Next Generation Sequencing","Melanoma, Glioblastoma",Not Applicable,Not Applicable,Open Access,37399356,b36368a1-b2fa-4f32-a445-e95f5a34ad48,syn52564814,37399356
PublicationView,CA225088,10.1109/jbhi.2023.3281332,IEEE J Biomed Health Inform,37252868,3D Domain Adaptive Instance Segmentation via Cyclic Segmentation GANs,https://pubmed.ncbi.nlm.nih.gov/37252868,2023,,"Leander Lauenburg, Zudi Lin, Ruihan Zhang, Marcia Dos Santos, Siyu Huang, Ignacio Arganda-Carreras, Edward S Boyden, Hanspeter Pfister, Donglai Wei","3D instance segmentation for unlabeled imaging modalities is a challenging but essential task as collecting expert annotation can be expensive and time-consuming. Existing works segment a new modality by either deploying pre-trained models optimized on diverse training data or sequentially conducting image translation and segmentation with two relatively independent networks. In this work, we prop(Read more on Pubmed)",Computational Tool,Not Applicable,Not Applicable,Not Applicable,Open Access,37252868,daf0d7d3-82fc-416b-9703-dca2e4f40cc7,syn52564814,37252868
PublicationView,CA225088,10.1016/j.ccell.2023.03.015,Cancer Cell,37059105,Lymphocyte networks are dynamic cellular communities in the immunoregulatory landscape of lung adenocarcinoma,https://pubmed.ncbi.nlm.nih.gov/37059105,2023,"Immunotherapy, Cancer vaccines, Lung adenocarcinoma, systems biology, computational biology, Multiplexed Imaging, Multimodal Data Integration, Cycif, Spatial Profiling, Spatial Biology","Giorgio Gaglia, Megan L Burger, Cecily C Ritch, Danae Rammos, Yang Dai, Grace E Crossland, Sara Z Tavana, Simon Warchol, Alex M Jaeger, Santiago Naranjo, Shannon Coy, Ajit J Nirmal, Robert Krueger, Jia-Ren Lin, Hanspeter Pfister, Peter K Sorger, Tyler Jacks, Sandro Santagata","Lymphocytes are key for immune surveillance of tumors, but our understanding of the spatial organization and physical interactions that facilitate lymphocyte anti-cancer functions is limited. We used multiplexed imaging, quantitative spatial analysis, and machine learning to create high-definition maps of lung tumors from a Kras/Trp53-mutant mouse model and human resections. Networks of interactin(Read more on Pubmed)","Cyclic Immunofluorescence, Imaging",Lung Adenocarcinoma,Lung,syn30715952,Open Access,37059105,f8a794e4-a2eb-4411-b50c-2549806b8756,syn52564814,37059105
PublicationView,CA225088,10.1016/j.jaad.2023.02.014,J Am Acad Dermatol,36828138,Influence of melanoma type on incidence and downstream implications of cutaneous immune-related adverse events in the setting of immune checkpoint inhibitor therapy,https://pubmed.ncbi.nlm.nih.gov/36828138,2023,"Immunotherapy, Skin Toxicity, Immune Checkpoint Inhibitor, Cutaneous Immune-related Adverse Events, Rare Melanoma","Nga Nguyen, Guihong Wan, Pearl Ugwu-Dike, Nora A Alexander, Neel Raval, Shijia Zhang, Ruple Jairath, Jordan Phillipps, Bonnie Leung, Katie Roster, Jayhyun Seo, Chenyue Lu, Kimberly Tang, Min Seok Choi, Mia S DeSimone, Nicholas Theodosakis, Munachimso Amadife, Nevada Cox, Thomas K Le, Feng Liu, Wenxin Chen, Xue Bai, Genevieve Boland, David Liu, Marc S Hurlbert, Nicole LeBoeuf, Kerry L Reynolds, Kun-Hsing Yu, Hensin Tsao, Maryam Asgari, Alexander Gusev, Shawn G Kwatra, Yevgeniy R Semenov",Background: Emerging evidence suggests that cutaneous immune-related adverse events (cirAEs) are associated with a survival benefit in the setting of advanced melanoma treated with immune checkpoint inhibitor (ICI) therapy. Previous studies have not examined the role of melanoma subtypes on cirAE development and downstream therapeutic outcomes. Objective: Examine the impact of melanoma subtypes on(Read more on Pubmed),Immunotherapy,Melanoma,Skin,Not Applicable,Open Access,36828138,e54ace22-dc4d-448c-a104-5d0a99094f70,syn52564814,36828138
PublicationView,CA225088,10.1016/j.jaad.2023.02.017,J Am Acad Dermatol,36944564,Increased risk of cutaneous immune-related adverse events in patients treated with talimogene laherparepvec and immune checkpoint inhibitors: A multi-hospital cohort study,https://pubmed.ncbi.nlm.nih.gov/36944564,2023,"Melanoma, Immunotherapy, Skin Cancer, Talimogene Laherparepvec, Immune Checkpoint Inhibitors, Cutaneous Toxicities, Cutaneous Immune-related Adverse Events","Bonnie W Leung, Guihong Wan, Nga Nguyen, Hannah Rashdan, Shijia Zhang, Wenxin Chen, Sonia Cohen, Genevieve M Boland, Ryan J Sullivan, Riley M Fadden, Howard L Kaufman, Shawn G Kwatra, Nicole R LeBoeuf, Yevgeniy R Semenov","Background: Previous studies have shown that combining immune checkpoint inhibitors (ICIs) with talimogene laherparepvec (TVEC) may improve antitumor responses. However, the risk of developing cutaneous immune-related adverse events (cirAEs) in patients treated with ICI and TVEC has not been studied. Objective: To evaluate the differences in cirAE development between patients treated with ICI alon(Read more on Pubmed)",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,36944564,6b9b8c32-7daa-434d-bcf8-19b9994fd7e8,syn52564814,36944564
