Component,Publication Grant Number,Publication Doi,Publication Journal,Pubmed Id,Publication Title,Pubmed Url,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,PublicationView_id,Id,entityId,Dataset View_id
PublicationView,CA274502,10.1038/s41598-023-33329-2,Sci Rep,37169829,Multimodal perturbation analyses of cyclin-dependent kinases reveal a network of synthetic lethalities associated with cell-cycle regulation and transcriptional regulation,https://pubmed.ncbi.nlm.nih.gov/37169829,2023,,"Kyle Ford, Brenton P Munson, Samson H Fong, Rebecca Panwala, Wai Keung Chu, Joseph Rainaldi, Nongluk Plongthongkum, Vinayagam Arunachalam, Jarek Kostrowicki, Dario Meluzzi, Jason F Kreisberg, Kristen Jensen-Pergakes, Todd VanArsdale, Thomas Paul, Pablo Tamayo, Kun Zhang, Jadwiga Bienkowska, Prashant Mali, Trey Ideker","Cell-cycle control is accomplished by cyclin-dependent kinases (CDKs), motivating extensive research into CDK targeting small-molecule drugs as cancer therapeutics. Here we use combinatorial CRISPR/Cas9 perturbations to uncover an extensive network of functional interdependencies among CDKs and related factors, identifying 43 synthetic-lethal and 12 synergistic interactions. We dissect CDK perturb(Read more on Pubmed)","CRISPR, Single Cell RNA-Sequencing, CUT&Tag-Sequencing ",Breast Adenocarcinoma,Breast,"GSE218629 GSE227432, PRJNA945412",Open Access,37169829,acdd9cf3-232b-42b0-91ae-2fc488b80a4c,syn52566271,37169829
PublicationView,CA274502,10.1093/narcan/zcad020,NAR Cancer,37213254,Current proteomics methods applicable to dissecting the DNA damage response,https://pubmed.ncbi.nlm.nih.gov/37213254,2023,,"Monita Muralidharan, Nevan J Krogan, Mehdi Bouhaddou, Minkyu Kim","The DNA damage response (DDR) entails reorganization of proteins and protein complexes involved in DNA repair. The coordinated regulation of these proteomic changes maintains genome stability. Traditionally, regulators and mediators of DDR have been investigated individually. However, recent advances in mass spectrometry (MS)-based proteomics enable us to globally quantify changes in protein abund(Read more on Pubmed)","Cross-Linking Mass Spectrometry, Affinity Purification Mass Spectrometry, Proteomics Assay",Pan-cancer,Not Applicable,Not Applicable,Open Access,37213254,e2077957-984b-440f-8149-40b89d5df897,syn52566271,37213254
PublicationView,CA274502,10.1016/j.jbc.2022.102866,J Biol Chem,36596361,Whole-genome CRISPR screening identifies PI3K/AKT as a downstream component of the oncogenic GNAQ-focal adhesion kinase signaling circuitry,https://pubmed.ncbi.nlm.nih.gov/36596361,2023,"Signal transduction, G protein, FAK, protein phosphorylation, Uveal Melanoma, Gnaq/gna11","Nadia Arang, Simone Lubrano, Damiano Cosimo Rigiracciolo, Daniela Nachmanson, Scott M Lippman, Prashant Mali, Olivier Harismendy, J Silvio Gutkind","G proteins and G protein-coupled receptors activate a diverse array of signal transduction pathways that promote cell growth and survival. Indeed, hot spot-activating mutations in GNAQ/GNA11, encoding Gαq proteins, are known to be driver oncogenes in uveal melanoma (UM), for which there are limited effective therapies currently available. Focal adhesion kinase (FAK) has been recently shown to be a(Read more on Pubmed)","Cell Culture, CRISPR, Immunoprecipitation, Apoptosis Assay",Uveal Melanoma,Skin,PRJNA902794,Open Access,36596361,94054690-9f89-4ae5-9f00-ade6b181475a,syn52566271,36596361
PublicationView,CA274502,10.1016/j.cels.2023.04.007,Cell Syst,37220749,A multi-scale map of protein assemblies in the DNA damage response,https://pubmed.ncbi.nlm.nih.gov/37220749,2023,"Visualization, systems biology, Dna Damage Response, Protein Networks, Double-strand Break Repair, Single-strand Break Repair, Multi-omics, Protein Assemblies","Anton Kratz, Minkyu Kim, Marcus R Kelly, Fan Zheng, Christopher A Koczor, Jianfeng Li, Keiichiro Ono, Yue Qin, Christopher Churas, Jing Chen, Rudolf T Pillich, Jisoo Park, Maya Modak, Rachel Collier, Kate Licon, Dexter Pratt, Robert W Sobol, Nevan J Krogan, Trey Ideker","The DNA damage response (DDR) ensures error-free DNA replication and transcription and is disrupted in numerous diseases. An ongoing challenge is to determine the proteins orchestrating DDR and their organization into complexes, including constitutive interactions and those responding to genomic insult. Here, we use multi-conditional network analysis to systematically map DDR assemblies at multipl(Read more on Pubmed)","Mass Spectrometry, Proteomics Assay",Pan-cancer,Not Applicable,"PXD028064, PXD037494",Open Access,37220749,53c3299a-8968-443c-9233-0fb4479adc30,syn52566271,37220749
PublicationView,CA274502,10.3389/fbinf.2023.1125949,Front Bioinform,37035036,Translating desktop success to the web in the cytoscape project,https://pubmed.ncbi.nlm.nih.gov/37035036,2023,"Bioinformatics, systems biology, Software development, Network Biology, Data Visualisation, Cytoscape","Dexter Pratt, Rudolf T Pillich, John H Morris","Cytoscape is an open-source bioinformatics environment for the analysis, integration, visualization, and query of biological networks. In this perspective piece, we describe our project to bring the Cytoscape desktop application to the web while explaining our strategy in ways relevant to others in the bioinformatics community. We examine opportunities and challenges in developing bioinformatics s(Read more on Pubmed)",Computational Tool,Pan-cancer,Not Applicable,Not Applicable,Open Access,37035036,5d53ce4f-78d6-4008-ad80-7d847221f7a0,syn52566271,37035036
PublicationView,CA274502,10.1093/bioinformatics/btad118,Bioinformatics,36882166,NDEx IQuery: a multi-method network gene set analysis leveraging the Network Data Exchange,https://pubmed.ncbi.nlm.nih.gov/36882166,2023,,"Rudolf T Pillich, Jing Chen, Christopher Churas, Dylan Fong, Benjamin M Gyori, Trey Ideker, Klas Karis, Sophie N Liu, Keiichiro Ono, Alexander Pico, Dexter Pratt",Motivation: The investigation of sets of genes using biological pathways is a common task for researchers and is supported by a wide variety of software tools. This type of analysis generates hypotheses about the biological processes that are active or modulated in a specific experimental context. Results: The Network Data Exchange Integrated Query (NDEx IQuery) is a new tool for network and pathw(Read more on Pubmed),Computational Tool,Pan-cancer,Not Applicable,Not Applicable,Open Access,36882166,3f4e1f67-a6c2-422d-87bf-765f798b1d4c,syn52566271,36882166
PublicationView,CA274502,10.1016/j.ccell.2023.04.008,Cancer Cell,37146605,Clinical significance and biology of circulating tumor DNA in high-risk early-stage HER2-negative breast cancer receiving neoadjuvant chemotherapy,https://pubmed.ncbi.nlm.nih.gov/37146605,2023,"receptor subtype, Neoadjuvant chemotherapy, Gene Expression, Pathologic Complete Response, Circulating Tumor Dna, Residual Cancer Burden","Mark Jesus M Magbanua, Lamorna Brown Swigart, Ziad Ahmed, Rosalyn W Sayaman, Derrick Renner, Ekaterina Kalashnikova, Gillian L Hirst, Christina Yau, Denise M Wolf, Wen Li, Amy L Delson, Smita Asare, Minetta C Liu, Kathy Albain, A Jo Chien, Andres Forero-Torres, Claudine Isaacs, Rita Nanda, Debu Tripathy, Angel Rodriguez, Himanshu Sethi, Alexey Aleshin, Matthew Rabinowitz, Jane Perlmutter, W Fraser(Read more on Pubmed)","Circulating tumor DNA (ctDNA) analysis may improve early-stage breast cancer treatment via non-invasive tumor burden assessment. To investigate subtype-specific differences in the clinical significance and biology of ctDNA shedding, we perform serial personalized ctDNA analysis in hormone receptor (HR)-positive/HER2-negative breast cancer and triple-negative breast cancer (TNBC) patients receiving(Read more on Pubmed)","Whole Exome Sequencing, Next Generation Sequencing",Breast Neoplasm,Breast,GSE194040,Open Access,37146605,d49b0f94-db57-4926-b418-815614ecd1f8,syn52566271,37146605
PublicationView,CA274502,10.1039/d3mo00025g,Mol Omics,37204043,Network modeling suggests HIV infection phenocopies PI3K-AKT pathway mutations to enhance HPV-associated cervical cancer,https://pubmed.ncbi.nlm.nih.gov/37204043,2023,,"Charles Ochieng' Olwal, Jacqueline M Fabius, Lorena Zuliani-Alvarez, Manon Eckhardt, George Boateng Kyei, Peter Kojo Quashie, Nevan J Krogan, Mehdi Bouhaddou, Yaw Bediako","Women coinfected with human immunodeficiency virus type 1 (HIV-1) and human papillomavirus (HPV) are six times as likely to develop invasive cervical carcinoma compared to those without HIV. Unlike other HIV-associated cancers, the risk of cervical cancer development does not change when HPV/HIV coinfected women begin antiretroviral therapy, suggesting HIV-associated immune suppression is not a ke(Read more on Pubmed)",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,37204043,d028a97e-a63d-44b1-895f-f3b9dd21e4fc,syn52566271,37204043
