Component,Publication Grant Number,Publication Doi,Publication Journal,Pubmed Id,Publication Title,Pubmed Url,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,PublicationView_id,Id,entityId,Dataset View_id
PublicationView,CA232382,10.1158/0008-5472.can-22-2558,Cancer Res,37205789,Intermetastatic and Intrametastatic Heterogeneity Shapes Adaptive Therapy Cycling Dynamics,https://pubmed.ncbi.nlm.nih.gov/37205789,2023,,"Jill Gallaher, Maximilian Strobl, Jeffrey West, Robert Gatenby, Jingsong Zhang, Mark Robertson-Tessi, Alexander R A Anderson","Adaptive therapies that alternate between drug applications and drug-free vacations can exploit competition between sensitive and resistant cells to maximize the time to progression. However, optimal dosing schedules depend on the properties of metastases, which are often not directly measurable in clinical practice. Here, we proposed a framework for estimating features of metastases through tumor(Read more on Pubmed)",Computational Modeling,Prostate Adenocarcinoma,Prostate Gland,Not Applicable,Open Access,37205789,b747e211-5b2d-470c-8a4f-c094237c27b9,syn52565154,37205789
PublicationView,CA232382,10.1038/s41467-023-40218-9,Nat Commun,37495577,Virtual alignment of pathology image series for multi-gigapixel whole slide images,https://pubmed.ncbi.nlm.nih.gov/37495577,2023,,"Chandler D Gatenbee, Ann-Marie Baker, Sandhya Prabhakaran, Ottilie Swinyard, Robbert J C Slebos, Gunjan Mandal, Eoghan Mulholland, Noemi Andor, Andriy Marusyk, Simon Leedham, Jose R Conejo-Garcia, Christine H Chung, Mark Robertson-Tessi, Trevor A Graham, Alexander R A Anderson","Interest in spatial omics is on the rise, but generation of highly multiplexed images remains challenging, due to cost, expertise, methodical constraints, and access to technology. An alternative approach is to register collections of whole slide images (WSI), generating spatially aligned datasets. WSI registration is a two-part problem, the first being the alignment itself and the second the appl(Read more on Pubmed)",Computational Tool,Colorectal Carcinoma,Not Applicable,Not Applicable,Open Access,37495577,f07b5a2d-8166-4a03-8180-273f119bbfe9,syn52565154,37495577
PublicationView,CA232382,10.1016/j.tcb.2022.10.006,Trends Cell Biol,36404257,Agent-based methods facilitate integrative science in cancer,https://pubmed.ncbi.nlm.nih.gov/36404257,2023,"Tissue homeostasis, Cancer Metabolism, Integrative Science, Agent-based Mathematical Models, Immune–tumor Interactions","Jeffrey West, Mark Robertson-Tessi, Alexander R A Anderson","In this opinion, we highlight agent-based modeling as a key tool for exploration of cell-cell and cell-environment interactions that drive cancer progression, therapeutic resistance, and metastasis. These biological phenomena are particularly suited to be captured at the cell-scale resolution possible only within agent-based or individual-based mathematical models. These modeling approaches comple(Read more on Pubmed)",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,36404257,e747e904-028d-4251-81cd-e90f25e4226f,syn52565154,36404257
