Component,Publication Grant Number,Publication Doi,Publication Journal,Pubmed Id,Publication Title,Pubmed Url,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,PublicationView_id,Id,entityId,Dataset View_id
PublicationView,CA264620,10.1038/s41467-023-39242-6,Nat Commun,37386030,Cell facilitation promotes growth and survival under drug pressure in breast cancer,https://pubmed.ncbi.nlm.nih.gov/37386030,2023,,"Rena Emond, Jason I Griffiths, Vince Kornél Grolmusz, Aritro Nath, Jinfeng Chen, Eric F Medina, Rachel S Sousa, Timothy Synold, Frederick R Adler, Andrea H Bild","The interplay of positive and negative interactions between drug-sensitive and resistant cells influences the effectiveness of treatment in heterogeneous cancer cell populations. Here, we study interactions between estrogen receptor-positive breast cancer cell lineages that are sensitive and resistant to ribociclib-induced cyclin-dependent kinase 4 and 6 (CDK4/6) inhibition. In mono- and coculture(Read more on Pubmed)","3D Cell Culture, Liquid Chromatography Mass Spectrometry, Western Blotting, RNA Sequencing, Single Cell RNA-Sequencing, Mathematical Modeling",Breast Adenocarcinoma,Breast,"GSE143944, GSE193278",Open Access,37386030,da74f7ab-7e54-4c8b-80f9-1795076d1d8f,syn53129715,37386030
PublicationView,CA264620,10.1038/s41598-023-39995-6,Sci Rep,37553438,Phylogenetic inference from single-cell RNA-seq data,https://pubmed.ncbi.nlm.nih.gov/37553438,2023,,"Xuan Liu, Jason I Griffiths, Isaac Bishara, Jiayi Liu, Andrea H Bild, Jeffrey T Chang","Tumors are comprised of subpopulations of cancer cells that harbor distinct genetic profiles and phenotypes that evolve over time and during treatment. By reconstructing the course of cancer evolution, we can understand the acquisition of the malignant properties that drive tumor progression. Unfortunately, recovering the evolutionary relationships of individual cancer cells linked to their phenot(Read more on Pubmed)",Single Cell RNA-Sequencing,Pan-cancer,Not Applicable,Not Applicable,Open Access,37553438,15a663fd-d092-466c-b2f7-bbfac14bee81,syn53129715,37553438
