Component,Publication Grant Number,Publication Doi,Publication Journal,Pubmed Id,Publication Title,Pubmed Url,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,PublicationView_id,Id,entityId,Dataset View_id
PublicationView,CA210152,10.1038/s41467-023-40482-9,Nat Commun,37558722,Molecular insights into intrinsic transducer-coupling bias in the CXCR4-CXCR7 system,https://pubmed.ncbi.nlm.nih.gov/37558722,2023,,"Parishmita Sarma, Carlo Marion C Carino, Deeksha Seetharama, Shubhi Pandey, Hemlata Dwivedi-Agnihotri, Xue Rui, Yubo Cao, Kouki Kawakami, Poonam Kumari, Yu-Chih Chen, Kathryn E Luker, Prem N Yadav, Gary D Luker, Stéphane A Laporte, Xin Chen, Asuka Inoue, Arun K Shukla","Chemokine receptors constitute an important subfamily of G protein-coupled receptors (GPCRs), and they are critically involved in a broad range of immune response mechanisms. Ligand promiscuity among these receptors makes them an interesting target to explore multiple aspects of biased agonism. Here, we comprehensively characterize two chemokine receptors namely, CXCR4 and CXCR7, in terms of their(Read more on Pubmed)","Cell Culture, Chemotaxis Assay


","Breast Adenocarcinoma, Triple-Negative Breast Carcinoma",Breast,Not Applicable,Open Access,37558722,463a6fdd-0750-489a-bc0e-85e220ddfee0,syn52500278,37558722
PublicationView,CA210152,10.1038/s41467-023-40270-5,Nat Commun,37553327,Hyaluronic acid-bilirubin nanomedicine-based combination chemoimmunotherapy,https://pubmed.ncbi.nlm.nih.gov/37553327,2023,,"Yonghyun Lee, Jongyoon Shinn, Cheng Xu, Hannah E Dobson, Nouri Neamati, James J Moon","Despite significant advances in immune checkpoint blockade (ICB), immunosuppression mediated by tumor-associated myeloid cells (TAMCs) poses a major barrier to cancer immunotherapy. In addition, while immunogenic cell death (ICD) provides a viable approach to inducing anti-tumor immune response, it remains unknown how to effectively trigger ICD while addressing immunosuppressive TAMCs. Here, we sh(Read more on Pubmed)","Immunotherapy, Flow Cytometry, Imaging, ELISA, Cell Culture, Fluorescence Activated Cell Sorting",Colon Carcinoma,Not Applicable,Not Applicable,Open Access,37553327,affc4480-07b4-4ff3-8f2e-28eba7b25ed5,syn52500278,37553327
PublicationView,CA210152,10.1093/intbio/zyad004,Integr Biol (Camb),37015816,Triple-negative breast cancer cells invade adipocyte/preadipocyte-encapsulating geometrically inverted mammary organoids,https://pubmed.ncbi.nlm.nih.gov/37015816,2023,"Cancer, Basement membrane, Adipose, Mammary, Organoid","David R Mertz, Eric Parigoris, Jason Sentosa, Ji-Hoon Lee, Soojung Lee, Celina G Kleer, Gary Luker, Shuichi Takayama","This paper describes the manufacture of geometrically inverted mammary organoids encapsulating primary mammary preadipocytes and adipocytes. Material manipulation in an array of 192 hanging drops induces cells to self-assemble into inside-out organoids where an adipose tissue core is enveloped by a cell-produced basement membrane, indicated by laminin V staining and then a continuous layer of mamm(Read more on Pubmed)",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,37015816,6e4314ac-a0c4-4e1b-8ba7-70cc56090fb7,syn52500278,37015816
