Component,Publication Grant Number,Publication Doi,Publication Journal,Pubmed Id,Publication Title,Pubmed Url,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,PublicationView_id,Id,entityId,Dataset View_id
PublicationView,CA209978,10.1038/s41467-023-39242-6,Nat Commun,37386030,Cell facilitation promotes growth and survival under drug pressure in breast cancer,https://pubmed.ncbi.nlm.nih.gov/37386030,2023,,"Rena Emond, Jason I Griffiths, Vince Kornél Grolmusz, Aritro Nath, Jinfeng Chen, Eric F Medina, Rachel S Sousa, Timothy Synold, Frederick R Adler, Andrea H Bild","The interplay of positive and negative interactions between drug-sensitive and resistant cells influences the effectiveness of treatment in heterogeneous cancer cell populations. Here, we study interactions between estrogen receptor-positive breast cancer cell lineages that are sensitive and resistant to ribociclib-induced cyclin-dependent kinase 4 and 6 (CDK4/6) inhibition. In mono- and coculture(Read more on Pubmed)","3D Cell Culture, Liquid Chromatography Mass Spectrometry, Western Blotting, RNA Sequencing, Single Cell RNA-Sequencing, Mathematical Modeling",Breast Adenocarcinoma,Breast,"GSE143944, GSE193278",Open Access,37386030,96690d2e-2b01-48a0-9b99-63341af5195f,syn52500283,37386030
PublicationView,CA209978,10.1186/s13073-021-00989-6,Genome Med,34711268,Novel temporal and spatial patterns of metastatic colonization from breast cancer rapid-autopsy tumor biopsies,https://pubmed.ncbi.nlm.nih.gov/34711268,2021,"Metastatic breast cancer, subclone, Tumor Evolution","Xiaomeng Huang, Yi Qiao, Samuel W Brady, Rachel E Factor, Erinn Downs-Kelly, Andrew Farrell, Jasmine A McQuerry, Gajendra Shrestha, David Jenkins, W Evan Johnson, Adam L Cohen, Andrea H Bild, Gabor T Marth","Background: Metastatic breast cancer is a deadly disease with a low 5-year survival rate. Tracking metastatic spread in living patients is difficult and thus poorly understood. Methods: Via rapid autopsy, we have collected 30 tumor samples over 3 timepoints and across 8 organs from a triple-negative metastatic breast cancer patient. The large number of sites sampled, together with deep whole-genom(Read more on Pubmed)","Whole Genome Sequencing, RNA Sequencing",Invasive Ductal Breast Carcinoma,Breast,GSE184717,Open Access,34711268,2e6323d7-ccfa-40f7-a2fa-8ac2b01ff1a7,syn52500283,34711268
PublicationView,CA209978,10.1038/s41598-023-39995-6,Sci Rep,37553438,Phylogenetic inference from single-cell RNA-seq data,https://pubmed.ncbi.nlm.nih.gov/37553438,2023,,"Xuan Liu, Jason I Griffiths, Isaac Bishara, Jiayi Liu, Andrea H Bild, Jeffrey T Chang","Tumors are comprised of subpopulations of cancer cells that harbor distinct genetic profiles and phenotypes that evolve over time and during treatment. By reconstructing the course of cancer evolution, we can understand the acquisition of the malignant properties that drive tumor progression. Unfortunately, recovering the evolutionary relationships of individual cancer cells linked to their phenot(Read more on Pubmed)",Single Cell RNA-Sequencing,Pan-cancer,Not Applicable,Not Applicable,Open Access,37553438,06a9f6be-07e9-47fd-a664-73da38a56756,syn52500283,37553438
PublicationView,CA209978,10.1093/neuonc/noac250,Neuro Oncol,36394567,RAGE ablation attenuates glioma progression and enhances tumor immune responses by suppressing galectin-3 expression,https://pubmed.ncbi.nlm.nih.gov/36394567,2023,"Macrophage, Glioblastoma, Microglia, Brain tumor","Ian Y Zhang, Shunan Liu, Leying Zhang, Rongrui Liang, Qingxiao Fang, Jie Zhao, Lyuzhi Ren, Eric F Medina, Aleksandr Filippov, Kimberley-Jane Bonjoc, Ammar Chaudhry, Mojtaba Dayyani, Andrea H Bild, Behnam Badie",Background: Malignant gliomas consist of heterogeneous cellular components that have adopted multiple overlapping escape mechanisms that overcome both targeted and immune-based therapies. The receptor for advanced glycation end products (RAGE) is a member of the immunoglobulin superfamily that is activated by diverse proinflammatory ligands present in the tumor microenvironment. Activation of RAGE(Read more on Pubmed),Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,36394567,cd5a2e09-6b7a-4adb-aed9-f85dec6ce3ed,syn52500283,36394567
