Component,Publication Grant Number,Publication Doi,Publication Journal,Pubmed Id,Pubmed Url,Publication Title,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,PublicationView_id,Id,entityId
PublicationView,CA268069,10.1038/s41467-023-38157-6,Nat Commun,37117218,https://pubmed.ncbi.nlm.nih.gov/37117218,RAD-TGTs: high-throughput measurement of cellular mechanotype via rupture and delivery of DNA tension probes,2023,,"Matthew R Pawlak, Adam T Smiley, Maria Paz Ramirez, Marcus D Kelly, Ghaidan A Shamsan, Sarah M Anderson, Branden A Smeester, David A Largaespada, David J Odde, Wendy R Gordon","Mechanical forces drive critical cellular processes that are reflected in mechanical phenotypes, or mechanotypes, of cells and their microenvironment. We present here ""Rupture And Deliver"" Tension Gauge Tethers (RAD-TGTs) in which flow cytometry is used to record the mechanical history of thousands of cells exerting forces on their surroundings via their propensity to rupture immobilized DNA duplex tension probes. We demonstrate that RAD-TGTs recapitulate prior DNA tension probe studies while also yielding a gain of fluorescence in the force-generating cell that is detectable by flow cytometry. Furthermore, the rupture propensity is altered following disruption of the cytoskeleton using drugs or CRISPR-knockout of mechanosensing proteins. Importantly, RAD-TGTs can differentiate distinct mechanotypes among mixed populations of cells. We also establish oligo rupture and delivery can be measured via DNA sequencing. RAD-TGTs provide a facile and powerful assay to enable high-throughput mechanotype profiling, which could find various applications, for example, in combination with CRISPR screens and -omics analysis.","Cell Culture, Flow Cytometry",Glioma,Not Applicable,PRJNA956930,Open Access,37117218,1d8ad933-5244-4e43-95b4-3154d0f09bbd,syn52566262
PublicationView,CA268069,10.1002/adma.202301208,Adv Mater,37186328,https://pubmed.ncbi.nlm.nih.gov/37186328,Metasurface-Enhanced Mid-Infrared Spectrochemical Imaging of Tissues,2023,"Laser spectroscopy, Hyperspectral Imaging, Nanobiophotonics, Surface-enhanced Infrared Absorption Spectroscopy, Label-free Brain Tissue Imaging, Mid-infrared Spectral Imaging, Photonic Metasurfaces","Samir Rosas, Keegan A Schoeller, Edward Chang, Hongyan Mei, Mikhail A Kats, Kevin W Eliceiri, Xinyu Zhao, Filiz Yesilkoy","Label-free and nondestructive mid-infrared vibrational hyperspectral imaging is an essential tissue analysis tool, providing spatially resolved biochemical information critical to understanding physiological and pathological processes. However, the chemically complex and spatially heterogeneous composition of tissue specimens and the inherently weak interaction of infrared light with biomolecules limit the analytical performance of infrared absorption spectroscopy. Here, an advanced mid-infrared spectrochemical tissue imaging modality is introduced using metasurfaces that support strong surface-localized electromagnetic fields to capture quantitative molecular maps of large-area murine brain tissue sections. The approach leverages polarization-multiplexed multi-resonance plasmonic metasurfaces to simultaneously detect various functional biomolecules. The surface-enhanced mid-infrared spectral imaging method eliminates the non-specific effects of bulk tissue morphology on quantitative spectral analysis and improves chemical selectivity. This study shows that metasurface enhancement increases the retrieval of amide I and II bands associated with protein secondary structures. Moreover, it is demonstrated that plasmonic metasurfaces enhance the chemical contrast in infrared images and enable detection of ultrathin tissue regions that are not otherwise visible to conventional mid-infrared spectral imaging. While this work uses murine brain tissue sections, the chemical imaging method is well-suited for other tissue types, which broadens its potential impact for translational research and clinical histopathology.","Fourier-Transform Infrared Spectroscopy, Microscopy
",Brain Neoplasm,Brain,,Open Access,37186328,051f9001-1442-4940-a8ed-e46bd07a5231,syn52566262
