Component,Publication Grant Number,Publication Doi,Publication Journal,Pubmed Id,Pubmed Url,Publication Title,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,PublicationView_id
PublicationView,CA254886,10.1242/jcs.260753,J Cell Sci,37158012,https://pubmed.ncbi.nlm.nih.gov/37158012,"Confinement plus Myosin-II suppression maximizes heritable loss of chromosomes, as revealed by live-cell ChReporters",2023,"Myosin, Heritability, Aneuploidy, Compression, Rigidity, Confinement","Brandon H Hayes, Peter Kuangzheng Zhu, Mai Wang, Charlotte R Pfeifer, Yuntao Xia, Steven Phan, Jason C Andrechak, Junhong Du, Michael P Tobin, Alisya Anlas, Lawrence J Dooling, Manasvita Vashisth, Jerome Irianto, Michael A Lampson, Dennis E Discher","A cell's mechanical environment can have many effects, but whether it impacts a cell's DNA sequence has remained unclear. To investigate this, we developed a live-cell method to measure changes in chromosome numbers. We edited constitutive genes with GFP/RFP-tags on single alleles and discovered that cells that lose Chromosome-reporters (ChReporters) become non-fluorescent. We applied our new tool(Read more on Pubmed)",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,37158012
PublicationView,CA254886,10.1083/jcb.202208123,J Cell Biol,37212777,https://pubmed.ncbi.nlm.nih.gov/37212777,"Small lipid droplets are rigid enough to indent a nucleus, dilute the lamina, and cause rupture",2023,,"Irena L Ivanovska, Michael P Tobin, Tianyi Bai, Lawrence J Dooling, Dennis E Discher","The nucleus in many cell types is a stiff organelle, but fat-filled lipid droplets (FDs) in cytoplasm are seen to indent and displace the nucleus. FDs are phase-separated liquids with a poorly understood interfacial tension γ that determines how FDs interact with other organelles. Here, micron-sized FDs remain spherical as they indent peri-nuclear actomyosin and the nucleus, while causing local di(Read more on Pubmed)",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,37212777
