Component,Publication Grant Number,Publication Doi,Publication Journal,Pubmed Id,Pubmed Url,Publication Title,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,PublicationView_id
PublicationView,CA202123,10.1371/journal.pcbi.1010471,PLoS Comput Biol,36996248,https://pubmed.ncbi.nlm.nih.gov/36996248,Development of a scoring function for comparing simulated and experimental tumor spheroids,2023,,"Julian Herold, Eric Behle, Jakob Rosenbauer, Jacopo Ferruzzi, Alexander Schug","Progress continues in the field of cancer biology, yet much remains to be unveiled regarding the mechanisms of cancer invasion. In particular, complex biophysical mechanisms enable a tumor to remodel the surrounding extracellular matrix (ECM), allowing cells to invade alone or collectively. Tumor spheroids cultured in collagen represent a simplified, reproducible 3D model system, which is sufficie(Read more on Pubmed)",Computational Modeling,Pan-cancer ,Breast,,Open Access,36996248
PublicationView,CA202123,10.1053/j.gastro.2023.02.030,Gastroenterology,36871599,https://pubmed.ncbi.nlm.nih.gov/36871599,Stiffness Restricts the Stemness of the Intestinal Stem Cells and Skews Their Differentiation Toward Goblet Cells,2023,"fibrosis, Ibd, Intestinal Stem Cells, Stiffening, Intestinal Organoids","Shijie He, Peng Lei, Wenying Kang, Priscilla Cheung, Tao Xu, Miyeko Mana, Chan Young Park, Hongyan Wang, Shinya Imada, Jacquelyn O Russell, Jianxun Wang, Ruizhi Wang, Ziheng Zhou, Kashish Chetal, Eric Stas, Vidisha Mohad, Peter Bruun-Rasmussen, Ruslan I Sadreyev, Richard A Hodin, Yanhang Zhang, David T Breault, Fernando D Camargo, Ömer H Yilmaz, Jeffrey J Fredberg, Nima Saeidi","Background & aims: Fibrosis and tissue stiffening are hallmarks of inflammatory bowel disease (IBD). We have hypothesized that the increased stiffness directly contributes to the dysregulation of the epithelial cell homeostasis in IBD. Here, we aim to determine the impact of tissue stiffening on the fate and function of the intestinal stem cells (ISCs). Methods: We developed a long-term culture sy(Read more on Pubmed)",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,36871599
