Component,Publication Grant Number,Publication Doi,Publication Journal,Pubmed Id,Pubmed Url,Publication Title,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,Publication Tumor Type,tool,Unnamed: 19,PublicationView_id
PublicationView,CA261694,10.1038/s41467-022-34701-y,Nat Commun,36402771,https://pubmed.ncbi.nlm.nih.gov/36402771,Feedback between mechanosensitive signaling and active forces governs endothelial junction integrity,2022,,"Eoin McEvoy, Tal Sneh, Emad Moeendarbary, Yousef Javanmardi, Nadia Efimova, Changsong Yang, Gloria E Marino-Bravante, Xingyu Chen, Jorge Escribano, Fabian Spill, José Manuel Garcia-Aznar, Ashani T Weeraratna, Tatyana M Svitkina, Roger D Kamm, Vivek B Shenoy","The formation and recovery of gaps in the vascular endothelium governs a wide range of physiological and pathological phenomena, from angiogenesis to tumor cell extravasation. However, the interplay between the mechanical and signaling processes that drive dynamic behavior in vascular endothelial cells is not well understood. In this study, we propose a chemo-mechanical model to investigate the regulation of endothelial junctions as dependent on the feedback between actomyosin contractility, VE-cadherin bond turnover, and actin polymerization, which mediate the forces exerted on the cell-cell interface. Simulations reveal that active cell tension can stabilize cadherin bonds, but excessive RhoA signaling can drive bond dissociation and junction failure. While actin polymerization aids gap closure, high levels of Rac1 can induce junction weakening. Combining the modeling framework with experiments, our model predicts the influence of pharmacological treatments on the junction state and identifies that a critical balance between RhoA and Rac1 expression is required to maintain junction stability. Our proposed framework can help guide the development of therapeutics that target the Rho family of GTPases and downstream active mechanical processes.","Electron Microscopy, Computational Modeling",,Not Applicable,Not Applicable,Open Access,Pan-cancer,,,36402771
PublicationView,CA261694,10.1016/j.tcb.2022.09.009,Trends Cell Biol,36328835,https://pubmed.ncbi.nlm.nih.gov/36328835,Plasticity of cancer invasion and energy metabolism,2023,"Metabolic Stress, Cellular Bioenergetics, Amoeboid Migration, Migration Plasticity","Maria Parlani, Carolina Jorgez, Peter Friedl","Energy deprivation is a frequent adverse event in tumors that is caused by mutations, malperfusion, hypoxia, and nutrition deficit. The resulting bioenergetic stress leads to signaling and metabolic adaptation responses in tumor cells, secures survival, and adjusts migration activity. The kinetic responses of cancer cells to energy deficit were recently identified, including a switch of invasive cancer cells to energy-conservative amoeboid migration and an enhanced capability for distant metastasis. We review the energy programs employed by different cancer invasion modes including collective, mesenchymal, and amoeboid migration, as well as their interconversion in response to energy deprivation, and we discuss the consequences for metastatic escape. Understanding the energy requirements of amoeboid and other dissemination strategies offers rationales for improving therapeutic targeting of metastatic cancer progression.",Modeling,,Not Applicable,Not Applicable,Open Access,Pan-cancer,,,36328835
PublicationView,CA261694,10.1016/j.tcb.2022.09.009,Trends Cell Biol,36328835,https://pubmed.ncbi.nlm.nih.gov/36328835,Plasticity of cancer invasion and energy metabolism,2023,"Metabolic Stress, Cellular Bioenergetics, Amoeboid Migration, Migration Plasticity","Maria Parlani, Carolina Jorgez, Peter Friedl","Energy deprivation is a frequent adverse event in tumors that is caused by mutations, malperfusion, hypoxia, and nutrition deficit. The resulting bioenergetic stress leads to signaling and metabolic adaptation responses in tumor cells, secures survival, and adjusts migration activity. The kinetic responses of cancer cells to energy deficit were recently identified, including a switch of invasive cancer cells to energy-conservative amoeboid migration and an enhanced capability for distant metastasis. We review the energy programs employed by different cancer invasion modes including collective, mesenchymal, and amoeboid migration, as well as their interconversion in response to energy deprivation, and we discuss the consequences for metastatic escape. Understanding the energy requirements of amoeboid and other dissemination strategies offers rationales for improving therapeutic targeting of metastatic cancer progression.",3D Cell Culture,,Not Applicable,,Open Access,Pan-cancer,,,36328835
