Component,Publication Grant Number,Publication Doi,Publication Journal,Pubmed Id,Pubmed Url,Publication Title,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,Publication Tumor Type,tool,Unnamed: 19,PublicationView_id
PublicationView,CA210184,10.1038/s41467-023-39178-x,Nat Commun,37316535,https://pubmed.ncbi.nlm.nih.gov/37316535,Isolation of full-length IgG antibodies from combinatorial libraries expressed in the cytoplasm of Escherichia coli,2023,,"Michael-Paul Robinson, Jinjoo Jung, Natalia Lopez-Barbosa, Matthew Chang, Mingji Li, Thapakorn Jaroentomeechai, Emily C Cox, Xiaolu Zheng, Mehmet Berkmen, Matthew P DeLisa","Here we describe a facile and robust genetic selection for isolating full-length IgG antibodies from combinatorial libraries expressed in the cytoplasm of redox-engineered Escherichia coli cells. The method is based on the transport of a bifunctional substrate comprised of an antigen fused to chloramphenicol acetyltransferase, which allows positive selection of bacterial cells co-expressing cytoplasmic IgGs called cyclonals that specifically capture the chimeric antigen and sequester the antibiotic resistance marker in the cytoplasm. The utility of this approach is first demonstrated by isolating affinity-matured cyclonal variants that specifically bind their cognate antigen, the leucine zipper domain of a yeast transcriptional activator, with subnanomolar affinities, which represent a ~20-fold improvement over the parental IgG. We then use the genetic assay to discover antigen-specific cyclonals from a naïve human antibody repertoire, leading to the identification of lead IgG candidates with affinity and specificity for an influenza hemagglutinin-derived peptide antigen.","Plasmid Construction, ELISA",,Not Applicable,Not Applicable,Open Access,Not Applicable,,,37316535
PublicationView,CA210184,10.1016/j.tcb.2022.09.009,Trends Cell Biol,36328835,https://pubmed.ncbi.nlm.nih.gov/36328835,Plasticity of cancer invasion and energy metabolism,2023,"Metabolic Stress, Cellular Bioenergetics, Amoeboid Migration, Migration Plasticity","Maria Parlani, Carolina Jorgez, Peter Friedl","Energy deprivation is a frequent adverse event in tumors that is caused by mutations, malperfusion, hypoxia, and nutrition deficit. The resulting bioenergetic stress leads to signaling and metabolic adaptation responses in tumor cells, secures survival, and adjusts migration activity. The kinetic responses of cancer cells to energy deficit were recently identified, including a switch of invasive cancer cells to energy-conservative amoeboid migration and an enhanced capability for distant metastasis. We review the energy programs employed by different cancer invasion modes including collective, mesenchymal, and amoeboid migration, as well as their interconversion in response to energy deprivation, and we discuss the consequences for metastatic escape. Understanding the energy requirements of amoeboid and other dissemination strategies offers rationales for improving therapeutic targeting of metastatic cancer progression.",Modeling,,Not Applicable,Not Applicable,Open Access,Pan-cancer,,,36328835
PublicationView,CA210184,10.1016/j.tcb.2022.09.009,Trends Cell Biol,36328835,https://pubmed.ncbi.nlm.nih.gov/36328835,Plasticity of cancer invasion and energy metabolism,2023,"Metabolic Stress, Cellular Bioenergetics, Amoeboid Migration, Migration Plasticity","Maria Parlani, Carolina Jorgez, Peter Friedl","Energy deprivation is a frequent adverse event in tumors that is caused by mutations, malperfusion, hypoxia, and nutrition deficit. The resulting bioenergetic stress leads to signaling and metabolic adaptation responses in tumor cells, secures survival, and adjusts migration activity. The kinetic responses of cancer cells to energy deficit were recently identified, including a switch of invasive cancer cells to energy-conservative amoeboid migration and an enhanced capability for distant metastasis. We review the energy programs employed by different cancer invasion modes including collective, mesenchymal, and amoeboid migration, as well as their interconversion in response to energy deprivation, and we discuss the consequences for metastatic escape. Understanding the energy requirements of amoeboid and other dissemination strategies offers rationales for improving therapeutic targeting of metastatic cancer progression.",3D Cell Culture,,Not Applicable,,Open Access,Pan-cancer,,,36328835
