Component,Publication Grant Number,Publication Doi,Publication Journal,Pubmed Id,Pubmed Url,Publication Title,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,Publication Tumor Type,tool,Unnamed: 19,PublicationView_id
PublicationView,CA264620,10.7554/elife.85898,Elife,37772709,https://pubmed.ncbi.nlm.nih.gov/37772709,ONC201/TIC10 enhances durability of mTOR inhibitor everolimus in metastatic ER+ breast cancer,2023,"Human, Mitochondria, Drug resistance, Breast cancer, Stress response, Everolimus, Cancer Biology, Onc201/Tic10","Elena Farmaki, Aritro Nath, Rena Emond, Kimya L Karimi, Vince K Grolmusz, Patrick A Cosgrove, Andrea H Bild","The mTOR inhibitor, everolimus, is an important clinical management component of metastatic ER+ breast cancer (BC). However, most patients develop resistance and progress on therapy, highlighting the need to discover strategies that increase mTOR inhibitor effectiveness. We developed ER+ BC cell lines, sensitive or resistant to everolimus, and discovered that combination treatment of ONC201/TIC10 with everolimus inhibited cell growth in 2D/3D in vitro studies. We confirmed increased therapeutic response in primary patient cells progressing on everolimus, supporting clinical relevance. We show that ONC201/TIC10 mechanism in metastatic ER+ BC cells involves oxidative phosphorylation inhibition and stress response activation. Transcriptomic analysis in everolimus resistant breast patient tumors and mitochondrial functional assays in resistant cell lines demonstrated increased mitochondrial respiration dependency, contributing to ONC201/TIC10 sensitivity. We propose that ONC201/TIC10 and modulation of mitochondrial function may provide an effective add-on therapy strategy for patients with metastatic ER+ BCs resistant to mTOR inhibitors.","Cell Culture, Western Blotting, RNA Sequencing","Breast Adenocarcinoma, Breast Carcinoma, Invasive Ductal Breast Carcinoma",Breast,"GSE119262,  GSE212369",Open Access,,,,37772709
PublicationView,CA264620,10.1038/s41467-023-39242-6,Nat Commun,37386030,https://pubmed.ncbi.nlm.nih.gov/37386030,Cell facilitation promotes growth and survival under drug pressure in breast cancer,2023,,"Rena Emond, Jason I Griffiths, Vince Kornél Grolmusz, Aritro Nath, Jinfeng Chen, Eric F Medina, Rachel S Sousa, Timothy Synold, Frederick R Adler, Andrea H Bild","The interplay of positive and negative interactions between drug-sensitive and resistant cells influences the effectiveness of treatment in heterogeneous cancer cell populations. Here, we study interactions between estrogen receptor-positive breast cancer cell lineages that are sensitive and resistant to ribociclib-induced cyclin-dependent kinase 4 and 6 (CDK4/6) inhibition. In mono- and coculture, we find that sensitive cells grow and compete more effectively in the absence of treatment. During treatment with ribociclib, sensitive cells survive and proliferate better when grown together with resistant cells than when grown in monoculture, termed facilitation in ecology. Molecular, protein, and genomic analyses show that resistant cells increase metabolism and production of estradiol, a highly active estrogen metabolite, and increase estrogen signaling in sensitive cells to promote facilitation in coculture. Adding estradiol in monoculture provides sensitive cells with increased resistance to therapy and cancels facilitation in coculture. Under partial inhibition of estrogen signaling through low-dose endocrine therapy, estradiol supplied by resistant cells facilitates sensitive cell growth. However, a more complete blockade of estrogen signaling, through higher-dose endocrine therapy, diminished the facilitative growth of sensitive cells. Mathematical modeling quantifies the strength of competition and facilitation during CDK4/6 inhibition and predicts that blocking facilitation has the potential to control both resistant and sensitive cancer cell populations and inhibit the emergence of a refractory population during cell cycle therapy.","3D Cell Culture, Liquid Chromatography Mass Spectrometry, Western Blotting, RNA Sequencing, Single Cell RNA-Sequencing, Mathematical Modeling",,Breast,"GSE143944, GSE193278",Open Access,Breast Adenocarcinoma,,,37386030
