Component,Publication Grant Number,Publication Doi,Publication Journal,Pubmed Id,Pubmed Url,Publication Title,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,PublicationView_id,Id,entityId
PublicationView,CA209988,10.1093/micmic/ozad067.554,Microsc Microanal,37613256,https://pubmed.ncbi.nlm.nih.gov/37613256,Large-Scale Electron Microscopy to Find Nanoscale Detail in Cancer,2023,,"Jessica L Riesterer, Cecilia Bueno, Erin S Stempinski, Steven K Adamou, Claudia S López, Guillaume Thibault, Lucas Pagano, Joseph Grieco, Samuel Olson, Archana Machireddy, Young Hwan Chang, Xubo Song, Joe W Gray",No abstract available.,Scanning Electron Microscopy,Pan-cancer,Not Applicable,Not Applicable,Open Access,37613256,f127f222-2190-4556-8a76-27b53be42ad8,syn52500282
PublicationView,CA209988,10.1038/s41467-023-40841-6,Nat Commun,37704631,https://pubmed.ncbi.nlm.nih.gov/37704631,MYC Deregulation and PTEN Loss Model Tumor and Stromal Heterogeneity of Aggressive Triple-Negative Breast Cancer,2023,,"Zinab O Doha, Xiaoyan Wang, Nicholas L Calistri, Jennifer Eng, Colin J Daniel, Luke Ternes, Eun Na Kim, Carl Pelz, Michael Munks, Courtney Betts, Sunjong Kwon, Elmar Bucher, Xi Li, Trent Waugh, Zuzana Tatarova, Dylan Blumberg, Aaron Ko, Nell Kirchberger, Jennifer A Pietenpol, Melinda E Sanders, Ellen M Langer, Mu-Shui Dai, Gordon Mills, Koei Chin, Young Hwan Chang, Lisa M Coussens, Joe W Gray, Laura M Heiser, Rosalie C Sears","Triple-negative breast cancer (TNBC) patients have a poor prognosis and few treatment options. Mouse models of TNBC are important for development of new therapies, however, few mouse models represent the complexity of TNBC. Here, we develop a female TNBC murine model by mimicking two common TNBC mutations with high co-occurrence: amplification of the oncogene MYC and deletion of the tumor suppress(Read more on Pubmed)","Hematoxylin and Eosin Staining Method, RNA Sequencing, Cyclic Immunofluorescence, Single Cell RNA-Sequencing",Triple-Negative Breast Carcinoma,Breast,"GSE215071,  GSE215070,  GSE176078",Open Access,37704631,69b2210b-5cde-46df-b3c7-fdad7d0078ff,syn52500282
PublicationView,CA209988,10.3390/pathophysiology30030031,Pathophysiology,37755397,https://pubmed.ncbi.nlm.nih.gov/37755397,Unraveling MYC's Role in Orchestrating Tumor Intrinsic and Tumor Microenvironment Interactions Driving Tumorigenesis and Drug Resistance,2023,"DNA repair, MYC, Tumorigenesis, Immune Evasion, Therapeutic Resistance, Replication Stress","Zinab O Doha, Rosalie C Sears","The transcription factor MYC plays a pivotal role in regulating various cellular processes and has been implicated in tumorigenesis across multiple cancer types. MYC has emerged as a master regulator governing tumor intrinsic and tumor microenvironment interactions, supporting tumor progression and driving drug resistance. This review paper aims to provide an overview and discussion of the intrica(Read more on Pubmed)",Immunotherapy,Pan-cancer,Not Applicable,Not Applicable,Open Access,37755397,9fba80b9-0fa0-4914-8dfb-ec99de68533a,syn52500282
