Component,Publication Grant Number,Publication Doi,Publication Journal,Pubmed Id,Pubmed Url,Publication Title,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,PublicationView_id,Id,entityId
PublicationView,CA268069,10.1016/j.actbio.2024.01.025,Acta Biomater,38272198,https://pubmed.ncbi.nlm.nih.gov/38272198,Unexpected softening of a fibrous matrix by contracting inclusions,2024,"Extracellular matrix, Stiffness, Buckling, Fiber Network, Cell–matrix Interaction","Mainak Sarkar, Brian M Burkel, Suzanne M Ponik, Jacob Notbohm","Cells respond to the stiffness of their surrounding environment, but quantifying the stiffness of a fibrous matrix at the scale of a cell is complicated, due to the effects of nonlinearity and complex force transmission pathways resulting from randomness in fiber density and connections. While it is known that forces produced by individual contractile cells can stiffen the matrix, it remains uncle(Read more on Pubmed)",Computational Modeling,Breast Carcinoma,Not Applicable,Not Applicable,Open Access,38272198,0e1f2019-f4fc-492b-ac7d-291f82eb5b72,syn52566262
PublicationView,CA268069,10.3389/fimmu.2023.1284118,Front Immunol,38022656,https://pubmed.ncbi.nlm.nih.gov/38022656,Comparison of peripheral leukocyte parameters in patients receiving conventionally and hypofractionated radiotherapy schemes for the treatment of newly diagnosed glioblastoma,2023,"Leukocytes, Fractionation, Glioblastoma, Hypofractionated Radiotherapy, Conventionally Fractionated Radiotherapy","Lindsey Greenlund, Ryan Shanley, Kellen Mulford, Elizabeth C Neil, Jessica Lawrence, Susan Arnold, Michael Olin, G Elizabeth Pluhar, Andrew S Venteicher, Clark C Chen, Clara Ferreira, Margaret Reynolds, L Chinsoo Cho, Christopher Wilke, B Aika Shoo, Jianling Yuan, Kathryn Dusenbery, Lawrence R Kleinberg, Stephanie A Terezakis, Lindsey Sloan","Introduction: Treatment for glioblastomas, aggressive and nearly uniformly fatal brain tumors, provide limited long-term success. Immunosuppression by myeloid cells in both the tumor microenvironment and systemic circulation are believed to contribute to this treatment resistance. Standard multi-modality therapy includes conventionally fractionated radiotherapy over 6 weeks; however, hypofractiona(Read more on Pubmed)",Clinical Study,Glioblastoma,Brain,Not Applicable,Open Access,38022656,1a62df40-ebb1-468e-8c41-9e3b010ad83d,syn52566262
PublicationView,CA268069,10.3389/fbinf.2023.1286983,Front Bioinform,38098814,https://pubmed.ncbi.nlm.nih.gov/38098814,Real-time open-source FLIM analysis,2023,"Fluorescence lifetime, Flim, Open Source, Phasor, Napari, Live Flim, Real-Time Flim Analysis","Kevin K D Tan, Mark A Tsuchida, Jenu V Chacko, Niklas A Gahm, Kevin W Eliceiri","Fluorescence lifetime imaging microscopy (FLIM) provides valuable quantitative insights into fluorophores' chemical microenvironment. Due to long computation times and the lack of accessible, open-source real-time analysis toolkits, traditional analysis of FLIM data, particularly with the widely used time-correlated single-photon counting (TCSPC) approach, typically occurs after acquisition. As a (Read more on Pubmed)",Fluorescence Lifetime Imaging Microscopy,Pan-cancer,Not Applicable,Not Applicable,Open Access,38098814,e8a7916b-f4d9-4228-9034-ef242b6864a3,syn52566262
